sequence,label,source_ref,baseline_file,sha256,capabilities,capabilities_mapped,capabilities_unmapped,human_adjudications_applied,average_assessed_maturity,benchmarked,roadmap_linked,runtime_verified,production_certified,added_count,removed_count,modified_count
1,d52a6b6-roadmap-pr-impact-corrected,24696b1e42620db5ef62ad221f2c3f815a1492d4,docs/capability-registry/release/baselines/001_d52a6b6_roadmap_pr_impact_corrected.json,556f3346fec9966a6f5f7fdace63a5a4a991754bed5cf42efe29dc4e4e97e1d6,81,80,1,0,2.2,15,34,0,0,81,0,0
2,d52a6b6-remaining-static-corrected,artifact-20260726,docs/capability-registry/release/baselines/002_d52a6b6_remaining_static_corrected.json,7830ec59e70512235d966959195abc65ecf65266a296eae414a41a40ead6c7cf,81,80,1,13,2.2,15,34,0,0,0,0,5
3,d52a6b6-pa003-yield-map-ingestion-static,pa003-implementation-20260726,docs/capability-registry/release/baselines/003_d52a6b6_pa003_yield_map_ingestion.json,9b7e70d2a8228a7a3a290df1aacb177c577797ea59ed608c40fbeb5c3d9c9214,81,81,0,13,2.21,15,34,0,0,0,0,1
