confidence,owner,kind,symbol,file,line,reference_count,action,decorated_route
medium,ai-agronomist,class,RecommendationRuntimePipeline,services/ai_agronomist/recommendation_runtime_pipeline.py,38,0,review_before_delete,False
medium,ai-agronomist,function,trace_decision,services/ai_agronomist/runtime_tracing.py,1,0,review_before_delete,False
medium,auth,function,tenant_header_middleware,services/auth/main.py,417,0,review_before_delete,False
medium,auth,function,verify_recovery_code,services/auth/mfa_crypto.py,209,0,review_before_delete,False
medium,auth,function,register_failure,services/auth/mfa_crypto.py,222,0,review_before_delete,False
medium,decision-service,function,now_iso,services/decision-service/persistence.py,39,0,review_before_delete,False
medium,gis-workflow-service,function,assemble_print_map_svg,services/gis-workflow-service/svg_print_map.py,82,0,review_before_delete,False
medium,mcp-servers,class,NDVIRequest,services/mcp_servers/sentinel_hub_server.py,150,0,review_before_delete,False
medium,mcp-servers,function,set_tenant_context,services/mcp_servers/shared/oauth_middleware.py,32,0,review_before_delete,False
medium,mcp-servers,function,clear_tenant_context,services/mcp_servers/shared/oauth_middleware.py,37,0,review_before_delete,False
medium,odoo-bridge,class,OdooConfigResponse,services/odoo-bridge/main.py,185,0,review_before_delete,False
medium,raster-service,function,dem_quality_from_num,services/raster-service/dem_quality.py,34,0,review_before_delete,False
medium,raster-service,function,stability_zones,services/raster-service/management_zones.py,70,0,review_before_delete,False
medium,raster-service,class,RawDataProcessResponse,services/raster-service/raster_api_models.py,120,0,review_before_delete,False
medium,raster-service,function,verify_provenance_match,services/raster-service/raster_provenance.py,126,0,review_before_delete,False
medium,raster-service,function,dem_providers,services/raster-service/raster_scene_model.py,327,0,review_before_delete,False
medium,raster-service,function,preferred_dem,services/raster-service/raster_scene_model.py,332,0,review_before_delete,False
medium,raster-service,function,research_sources,services/raster-service/raster_scene_model.py,393,0,review_before_delete,False
medium,raster-service,function,imported_asset_provenance_ok,services/raster-service/raster_scene_model.py,489,0,review_before_delete,False
medium,raster-service,function,external_sources,services/raster-service/raster_scene_model.py,507,0,review_before_delete,False
medium,raster-service,function,ai_models,services/raster-service/raster_scene_model.py,552,0,review_before_delete,False
medium,raster-service,function,olmoearth_embedding_contract,services/raster-service/raster_scene_model.py,557,0,review_before_delete,False
medium,raster-service,function,sources_by_type,services/raster-service/raster_scene_model.py,629,0,review_before_delete,False
medium,raster-service,function,predict_ece,services/raster-service/salinity_calibration.py,114,0,review_before_delete,False
medium,raster-service,function,classify_soil_texture,services/raster-service/soil_indices.py,95,0,review_before_delete,False
medium,raster-service,function,encode_terrain_rgb,services/raster-service/terrain_source_registry.py,187,0,review_before_delete,False
medium,raster-service,function,decode_terrain_rgb,services/raster-service/terrain_source_registry.py,197,0,review_before_delete,False
medium,raster-service,function,terrain_rgb_metadata,services/raster-service/terrain_source_registry.py,202,0,review_before_delete,False
medium,raster-service,function,fetch_wapor_mapsets,services/raster-service/wapor_worldcereal.py,46,0,review_before_delete,False
medium,sahool-platform,class,AgroZone,services/sahool-platform/api/agro_climate_zones.py,26,0,review_before_delete,False
medium,sahool-platform,function,consume_phenology_state,services/sahool-platform/api/agronomic_state_consumers.py,47,0,review_before_delete,False
medium,sahool-platform,function,consume_salinity_state,services/sahool-platform/api/agronomic_state_consumers.py,88,0,review_before_delete,False
medium,sahool-platform,function,consume_nutrient_ledger,services/sahool-platform/api/agronomic_state_consumers.py,145,0,review_before_delete,False
medium,sahool-platform,function,build_canonical_energy_microgrid_capability,services/sahool-platform/api/canonical_energy_microgrid_capability.py,131,0,review_before_delete,False
medium,sahool-platform,function,energy_capability_to_mpc_constraints,services/sahool-platform/api/canonical_energy_microgrid_capability.py,385,0,review_before_delete,False
