owner,method,path,handler,file,line
decision-service,POST,/v1/activation/irr_f01_reservation/enforce,activation_enforce,services/decision-service/main.py,1514
decision-service,POST,/v1/activation/irr_f01_reservation/begin,activation_begin,services/decision-service/main.py,1539
decision-service,POST,/v1/activation/irr_f01_reservation/complete,activation_complete,services/decision-service/main.py,1550
decision-service,POST,/v1/activation/irr_f01_reservation/revoke,activation_revoke,services/decision-service/main.py,1569
decision-service,POST,/v1/activation/irr_f01_reservation/reset,activation_reset,services/decision-service/main.py,1584
decision-service,GET,/v1/activation/irr_f01_reservation,activation_current,services/decision-service/main.py,1595
decision-service,GET,/v1/activation/irr_f01_reservation/probe,activation_probe,services/decision-service/main.py,1602
decision-service,POST,/v1/activation/satellite_cdse/begin,cdse_activation_begin,services/decision-service/main.py,1632
decision-service,POST,/v1/activation/satellite_cdse/complete,cdse_activation_complete,services/decision-service/main.py,1645
decision-service,POST,/v1/activation/satellite_cdse/revoke,cdse_activation_revoke,services/decision-service/main.py,1664
decision-service,POST,/v1/activation/satellite_cdse/reset,cdse_activation_reset,services/decision-service/main.py,1679
decision-service,GET,/v1/activation/satellite_cdse,cdse_activation_current,services/decision-service/main.py,1692
decision-service,GET,/v1/activation/satellite_cdse/source,cdse_active_source,services/decision-service/main.py,1699
decision-service,GET,/v1/activation/satellite_cdse/probe,cdse_activation_probe,services/decision-service/main.py,1708
decision-service,GET,/v1/execution-requests,list_execution_requests,services/decision-service/main.py,1739
decision-service,GET,/v1/execution-requests/recovery,list_execution_request_recovery,services/decision-service/main.py,1768
decision-service,POST,/v1/execution-requests/{execution_request_id}/claim,claim_execution_delivery,services/decision-service/main.py,1790
decision-service,POST,/v1/execution-requests/{execution_request_id}/receipt,ingest_execution_receipt,services/decision-service/main.py,1822
decision-service,POST,/v1/execution-requests/{execution_request_id}/verify-outcome,verify_terminal_execution_outcome,services/decision-service/main.py,1868
decision-service,POST,/v1/outcomes/{outcome_id}/learning-attribution,attribute_verified_outcome_to_learning,services/decision-service/main.py,1926
decision-service,GET,/v1/learning/calibration-dataset,get_calibration_dataset,services/decision-service/main.py,1960
decision-service,POST,/v1/learning/evaluation-runs,register_model_evaluation_run,services/decision-service/main.py,1995
decision-service,POST,/v1/learning/promotion-decisions,register_model_promotion_decision,services/decision-service/main.py,2045
decision-service,POST,/v1/learning/activation-requests,register_model_activation_request,services/decision-service/main.py,2081
decision-service,POST,/v1/learning/activation-requests/{activation_request_id}/review,review_activation_request_boundary,services/decision-service/main.py,2124
decision-service,POST,/v1/learning/activation-commands/{activation_command_id}/claim,claim_registry_activation_command_boundary,services/decision-service/main.py,2174
decision-service,POST,/v1/learning/activation-commands/{activation_command_id}/receipt,record_registry_activation_receipt_boundary,services/decision-service/main.py,2215
decision-service,POST,/v1/learning/activation-receipts/{activation_receipt_id}/rollback-command,create_registry_rollback_command_boundary,services/decision-service/main.py,2261
decision-service,POST,/v1/learning/rollback-commands/{rollback_command_id}/claim,claim_registry_rollback_command_boundary,services/decision-service/main.py,2298
decision-service,POST,/v1/learning/rollback-commands/{rollback_command_id}/receipt,record_registry_rollback_receipt_boundary,services/decision-service/main.py,2334
decision-service,GET,/v1/learning/models/{model_id}/active-state,active_model_state_boundary,services/decision-service/main.py,2371
decision-service,POST,/v1/learning/activation-receipts/{activation_receipt_id}/verification,post_activation_verification_boundary,services/decision-service/main.py,2403
decision-service,POST,/v1/learning/activation-receipts/{activation_receipt_id}/rollout-plan,rollout_plan_boundary,services/decision-service/main.py,2442
decision-service,POST,/v1/learning/monitoring-snapshots,monitoring_snapshot_boundary,services/decision-service/main.py,2479
decision-service,POST,/v1/learning/retraining-requests,retraining_request_boundary,services/decision-service/main.py,2515
decision-service,GET,/v1/learning/runtime-work,runtime_work_feed,services/decision-service/main.py,2545
decision-service,POST,/v1/learning/runtime-workers/{worker_id}/tenants,register_worker_tenant,services/decision-service/main.py,2582
decision-service,GET,/v1/learning/runtime-workers/{worker_id}/tenants,worker_tenants,services/decision-service/main.py,2606
decision-service,POST,/v1/learning/rollout-plans/{rollout_plan_id}/receipt,rollout_receipt_boundary,services/decision-service/main.py,2636
decision-service,POST,/v1/learning/retraining-requests/{retraining_request_id}/dispatch-receipt,retraining_dispatch_receipt_boundary,services/decision-service/main.py,2677
decision-service,POST,/v1/learning/runtime-schedules,runtime_schedule_boundary,services/decision-service/main.py,2725
