service,file,line,method,path,function,classification
decision-service,services/decision-service/main.py,1815,POST,/v1/execution-requests/{execution_request_id}/receipt,ingest_execution_receipt,business_endpoint
decision-service,services/decision-service/main.py,1861,POST,/v1/execution-requests/{execution_request_id}/verify-outcome,verify_terminal_execution_outcome,business_endpoint
decision-service,services/decision-service/main.py,1919,POST,/v1/outcomes/{outcome_id}/learning-attribution,attribute_verified_outcome_to_learning,business_endpoint
decision-service,services/decision-service/main.py,1953,GET,/v1/learning/calibration-dataset,get_calibration_dataset,business_endpoint
decision-service,services/decision-service/main.py,1988,POST,/v1/learning/evaluation-runs,register_model_evaluation_run,business_endpoint
decision-service,services/decision-service/main.py,2038,POST,/v1/learning/promotion-decisions,register_model_promotion_decision,business_endpoint
decision-service,services/decision-service/main.py,2074,POST,/v1/learning/activation-requests,register_model_activation_request,business_endpoint
decision-service,services/decision-service/main.py,2117,POST,/v1/learning/activation-requests/{activation_request_id}/review,review_activation_request_boundary,business_endpoint
decision-service,services/decision-service/main.py,2167,POST,/v1/learning/activation-commands/{activation_command_id}/claim,claim_registry_activation_command_boundary,business_endpoint
decision-service,services/decision-service/main.py,2208,POST,/v1/learning/activation-commands/{activation_command_id}/receipt,record_registry_activation_receipt_boundary,business_endpoint
decision-service,services/decision-service/main.py,2254,POST,/v1/learning/activation-receipts/{activation_receipt_id}/rollback-command,create_registry_rollback_command_boundary,business_endpoint
decision-service,services/decision-service/main.py,2291,POST,/v1/learning/rollback-commands/{rollback_command_id}/claim,claim_registry_rollback_command_boundary,business_endpoint
decision-service,services/decision-service/main.py,2327,POST,/v1/learning/rollback-commands/{rollback_command_id}/receipt,record_registry_rollback_receipt_boundary,business_endpoint
decision-service,services/decision-service/main.py,2364,GET,/v1/learning/models/{model_id}/active-state,active_model_state_boundary,business_endpoint
decision-service,services/decision-service/main.py,2396,POST,/v1/learning/activation-receipts/{activation_receipt_id}/verification,post_activation_verification_boundary,business_endpoint
decision-service,services/decision-service/main.py,2435,POST,/v1/learning/activation-receipts/{activation_receipt_id}/rollout-plan,rollout_plan_boundary,business_endpoint
decision-service,services/decision-service/main.py,2472,POST,/v1/learning/monitoring-snapshots,monitoring_snapshot_boundary,business_endpoint
decision-service,services/decision-service/main.py,2508,POST,/v1/learning/retraining-requests,retraining_request_boundary,business_endpoint
decision-service,services/decision-service/main.py,2538,GET,/v1/learning/runtime-work,runtime_work_feed,business_endpoint
decision-service,services/decision-service/main.py,2575,POST,/v1/learning/runtime-workers/{worker_id}/tenants,register_worker_tenant,business_endpoint
decision-service,services/decision-service/main.py,2599,GET,/v1/learning/runtime-workers/{worker_id}/tenants,worker_tenants,business_endpoint
decision-service,services/decision-service/main.py,2629,POST,/v1/learning/rollout-plans/{rollout_plan_id}/receipt,rollout_receipt_boundary,business_endpoint
decision-service,services/decision-service/main.py,2670,POST,/v1/learning/retraining-requests/{retraining_request_id}/dispatch-receipt,retraining_dispatch_receipt_boundary,business_endpoint
decision-service,services/decision-service/main.py,2718,POST,/v1/learning/runtime-schedules,runtime_schedule_boundary,business_endpoint
decision-service,services/decision-service/main.py,2765,POST,/v1/learning/reconcile-evidence,reconcile_evidence_boundary,business_endpoint
decision-service,services/decision-service/main.py,2795,POST,/v1/context-snapshots,compose_context_snapshot,business_endpoint
decision-service,services/decision-service/main.py,2827,GET,/v1/context-snapshots/{snapshot_id},read_context_snapshot,business_endpoint
edge-inference,services/edge-inference/main.py,168,GET,/healthz,health_check,health
edge-inference,services/edge-inference/main.py,200,POST,/inference/pest-detect,detect_pest,business_endpoint
edge-inference,services/edge-inference/main.py,262,POST,/inference/yield-estimate,estimate_yield,business_endpoint
edge-inference,services/edge-inference/main.py,328,POST,/sync/trigger,trigger_sync,business_endpoint
edge-inference,services/edge-inference/main.py,360,GET,/capabilities,capabilities,capabilities
edge-inference,services/edge-inference/main.py,365,GET,/readyz,readyz,readiness
field-management-service,services/field-management-service/main.py,184,GET,/healthz,healthz,health
field-management-service,services/field-management-service/main.py,189,GET,/health,legacy_health,health
field-management-service,services/field-management-service/main.py,194,GET,/readyz,readyz,readiness
field-management-service,services/field-management-service/main.py,206,GET,/contract,contract,contract
field-management-service,services/field-management-service/main.py,225,GET,/,root,legacy_alias
field-management-service,services/field-management-service/main.py,234,GET,/internal/fields/{field_id},internal_get_field,internal_endpoint
field-management-service,services/field-management-service/main.py,266,GET,/internal/fields,internal_list_fields,internal_endpoint
field-segmentation,services/field-segmentation/main.py,370,GET,/healthz,healthz,health
field-segmentation,services/field-segmentation/main.py,375,GET,/health,legacy_health,health
field-segmentation,services/field-segmentation/main.py,380,GET,/readyz,readyz,readiness
field-segmentation,services/field-segmentation/main.py,391,POST,/segment,segment,business_endpoint
indicators-service,services/indicators-service/main.py,63,GET,/healthz,healthz,health
indicators-service,services/indicators-service/main.py,68,GET,/health,legacy_health,health
indicators-service,services/indicators-service/main.py,73,GET,/readyz,ready,readiness
indicators-service,services/indicators-service/main.py,87,GET,/v1/indicators/ownership,ownership,business_endpoint
indicators-service,services/indicators-service/main.py,92,GET,/v1/indicators/catalog,catalog,business_endpoint
indicators-service,services/indicators-service/main.py,102,GET,/capabilities,capabilities,capabilities
indicators-service,services/indicators-service/main.py,125,GET,/contract,contract,contract
indicators-service,services/indicators-service/main.py,147,POST,/v1/indicators/compute,compute_indicator,business_endpoint
indicators-service,services/indicators-service/main.py,155,GET,/,root,legacy_alias
indicators-service,services/indicators-service/main.py,165,GET,/v1/fields/{field_id}/observations,field_observations,business_endpoint
indicators-service,services/indicators-service/main.py,196,GET,/v1/fields/{field_id}/observation-timeline,observation_timeline,business_endpoint
knowledge-graph,services/knowledge-graph/main.py,89,GET,/healthz,healthz,health
knowledge-graph,services/knowledge-graph/main.py,94,GET,/metrics,metrics,metrics
knowledge-graph,services/knowledge-graph/main.py,111,GET,/readyz,readyz,readiness
knowledge-graph,services/knowledge-graph/main.py,120,POST,/nodes,upsert_node,business_endpoint
knowledge-graph,services/knowledge-graph/main.py,128,POST,/edges,upsert_edge,business_endpoint
knowledge-graph,services/knowledge-graph/main.py,137,GET,/edges,edges,business_endpoint
knowledge-graph,services/knowledge-graph/main.py,151,POST,/graphql,graphql,business_endpoint
local-ai-rag,services/local-ai-rag/main.py,420,POST,/query,query_endpoint,business_endpoint
local-ai-rag,services/local-ai-rag/main.py,430,POST,/ingest,ingest_endpoint,business_endpoint
local-ai-rag,services/local-ai-rag/main.py,482,GET,/healthz,healthz,health
local-ai-rag,services/local-ai-rag/main.py,500,GET,/health,legacy_health,health
local-ai-rag,services/local-ai-rag/main.py,505,GET,/readyz,readyz,readiness
rag-retrieval,services/rag-retrieval/main.py,55,GET,/healthz,healthz,health
rag-retrieval,services/rag-retrieval/main.py,60,GET,/metrics,metrics,metrics
rag-retrieval,services/rag-retrieval/main.py,73,GET,/readyz,readyz,readiness
rag-retrieval,services/rag-retrieval/main.py,90,POST,/ingest,ingest,business_endpoint
rag-retrieval,services/rag-retrieval/main.py,115,POST,/search,search,business_endpoint
remote-sensing-workspace-bff,services/remote-sensing-workspace-bff/main.py,33,GET,/healthz,healthz,health
remote-sensing-workspace-bff,services/remote-sensing-workspace-bff/main.py,38,GET,/readyz,readyz,readiness
remote-sensing-workspace-bff,services/remote-sensing-workspace-bff/main.py,69,GET,/v1/fields/{field_id}/remote-sensing-workspace,workspace,business_endpoint
sam2-inference,services/sam2-inference/main.py,24,POST,/v1/predict,predict,business_endpoint
sam2-inference,services/sam2-inference/main.py,105,GET,/healthz,healthz,health
sam2-inference,services/sam2-inference/main.py,110,GET,/health,legacy_health,health
sam2-inference,services/sam2-inference/main.py,115,GET,/readyz,readyz,readiness
scout-ingest-service,services/scout-ingest-service/main.py,178,GET,/healthz,healthz,health
scout-ingest-service,services/scout-ingest-service/main.py,183,GET,/readyz,readyz,readiness
scout-ingest-service,services/scout-ingest-service/main.py,216,GET,/internal/scouting/external-observations,read_external_observations,internal_endpoint
scout-ingest-service,services/scout-ingest-service/main.py,335,POST,/internal/ingest/submissions/odk,ingest_odk_submission,internal_endpoint
scout-ingest-service,services/scout-ingest-service/main.py,344,POST,/internal/ingest/submissions/kobo,ingest_kobo_submission,internal_endpoint
soil-service,services/soil-service/main.py,198,GET,/runtime-identity,runtime_evidence_identity,business_endpoint
weather-service,services/weather-service/main.py,55,GET,/runtime-identity,runtime_evidence_identity,business_endpoint
